Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
15% HCl Acid,30.00,29.00,28.00,30.00,30.00,29.00,30.00,30.00,30.00,29.00,28.00,28.00,29.00,29.00,13.00,14.00,14.00,15.00,15.00,15.00,15.00,14.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,14.00,14.00,13.00,16.00,15.00,13.00,12.00,13.00,13.00,14.00,14.00,15.00,15.00,15.00,15.00,15.00,15.00
Slickwater,10864.00,11376.00,10774.00,10800.00,10802.00,10862.00,10933.00,10811.00,10764.00,10894.00,10873.00,10658.00,10740.00,10673.00,10509.00,11816.00,10588.00,10764.00,10608.00,10803.00,10889.00,10603.00,10807.00,10503.00,10639.00,10522.00,10611.00,10481.00,10764.00,10544.00,10688.00,10545.00,10509.00,10526.00,10762.00,10552.00,10516.00,10463.00,10493.00,10724.00,10638.00,10632.00,10758.00,10587.00,10986.00,10624.00,10621.00,10180.00
Pump Down,286.00,262.00,260.00,230.00,216.00,210.00,260.00,230.00,212.00,236.00,190.00,201.00,171.00,196.00,178.00,176.00,171.00,159.00,143.00,140.00,154.00,140.00,140.00,129.00,126.00,111.00,105.00,107.00,102.00,101.00,90.00,83.00,83.00,972.00,69.00,62.00,63.00,53.00,49.00,44.00,45.00,37.00,33.00,28.00,17.00,14.00,9.00,0.00
Total Fluid,11180.00,11667.00,11062.00,11060.00,11048.00,11101.00,11223.00,11071.00,11006.00,11159.00,11091.00,10888.00,10940.00,10898.00,10700.00,12005.00,10773.00,10937.00,10766.00,10958.00,11058.00,10756.00,10961.00,10646.00,10780.00,10648.00,10731.00,10603.00,10880.00,10660.00,10792.00,10642.00,10605.00,11511.00,10847.00,10629.00,10592.00,10528.00,10555.00,10781.00,10697.00,10683.00,10806.00,10630.00,11018.00,10653.00,10644.00,10195.00
100 Mesh,505100.00,503100.00,500560.00,494820.00,501560.00,502620.00,501580.00,507500.00,504900.00,510340.00,513280.00,494440.00,505800.00,499840.00,501000.00,502906.00,499740.00,504820.00,502860.00,496980.00,497520.00,499100.00,498360.00,496880.00,508160.00,495420.00,498280.00,492880.00,501360.00,500880.00,499040.00,495660.00,490200.00,500460.00,510480.00,507580.00,498680.00,498940.00,498640.00,498320.00,498280.00,498580.00,499260.00,497580.00,499880.00,494000.00,497520.00,480460.00
Total Proppant,505100.00,503100.00,500560.00,494820.00,501560.00,502620.00,501580.00,507500.00,504900.00,510340.00,513280.00,494440.00,505800.00,499840.00,501000.00,502906.00,499740.00,504820.00,502860.00,496980.00,497520.00,499100.00,498360.00,496880.00,508160.00,495420.00,498280.00,492880.00,501360.00,500880.00,499040.00,495660.00,490200.00,500460.00,510480.00,507580.00,498680.00,498940.00,498640.00,498320.00,498280.00,498580.00,499260.00,497580.00,499880.00,494000.00,497520.00,480460.00
100 Mesh,505100.00,503100.00,500560.00,494820.00,501560.00,502620.00,501580.00,507500.00,504900.00,510340.00,513280.00,494440.00,505800.00,499840.00,501000.00,502906.00,499740.00,504820.00,502860.00,496980.00,497520.00,499100.00,498360.00,496880.00,508160.00,495420.00,498280.00,492880.00,501360.00,500880.00,499040.00,495660.00,490200.00,500460.00,510480.00,507580.00,498680.00,498940.00,498640.00,498320.00,498280.00,498580.00,499260.00,497580.00,499880.00,494000.00,497520.00,480460.00
Delivered Total Prop,505100.00,503100.00,500560.00,494820.00,501560.00,502620.00,501580.00,507500.00,504900.00,510340.00,513280.00,494440.00,505800.00,499840.00,501000.00,502906.00,499740.00,504820.00,502860.00,496980.00,497520.00,499100.00,498360.00,496880.00,508160.00,495420.00,498280.00,492880.00,501360.00,500880.00,499040.00,495660.00,490200.00,500460.00,510480.00,507580.00,498680.00,498940.00,498640.00,498320.00,498280.00,498580.00,499260.00,497580.00,499880.00,494000.00,497520.00,480460.00
"Plexslick 957, gal",456.00,480.00,453.00,350.00,320.00,386.00,318.00,390.00,394.00,314.00,320.00,420.00,458.00,290.00,269.00,340.00,295.00,310.00,267.00,272.00,306.00,260.00,325.00,248.00,265.00,225.00,237.00,221.00,240.00,215.00,225.00,211.00,218.00,207.00,187.00,197.00,203.00,181.00,185.00,186.00,194.00,192.00,190.00,190.00,232.00,190.00,192.00,169.00
"Chemplex 4-N-1, gal",8.00,7.00,7.00,8.00,8.00,7.00,8.00,8.00,8.00,7.00,7.00,7.00,7.00,7.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
"Payzone 845, gal",91.00,95.00,91.00,89.00,91.00,91.00,91.00,90.00,90.00,92.00,90.00,90.00,91.00,90.00,87.00,96.00,90.00,91.00,91.00,92.00,91.00,88.00,92.00,87.00,90.00,88.00,90.00,88.00,90.00,87.00,90.00,90.00,88.00,90.00,91.00,90.00,89.00,87.00,89.00,89.00,90.00,90.00,90.00,87.00,93.00,89.00,90.00,86.00
"Payzone 850, gal",34.00,36.00,34.00,33.00,34.00,34.00,34.00,34.00,33.00,34.00,34.00,34.00,34.00,33.00,33.00,36.00,33.00,34.00,34.00,34.00,34.00,33.00,34.00,33.00,34.00,34.00,34.00,33.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,33.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,33.00,34.00,33.00
"Payzone 217, gal",91.00,95.00,91.00,89.00,91.00,91.00,91.00,90.00,90.00,92.00,90.00,90.00,91.00,90.00,87.00,96.00,90.00,91.00,91.00,92.00,91.00,88.00,92.00,87.00,90.00,88.00,90.00,88.00,90.00,87.00,90.00,90.00,88.00,90.00,91.00,90.00,89.00,87.00,89.00,89.00,90.00,90.00,90.00,87.00,93.00,89.00,90.00,86.00
"Stim741 Gel, gal",10.00,20.00,20.00,20.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,
"15% HCl Acid, gal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,
"Diesel, gal",3619.00,3751.00,3436.00,3793.00,3583.00,3605.00,3876.00,3708.00,3677.00,3632.00,3419.00,3605.00,3427.00,3742.00,3435.00,4015.00,3095.00,3416.00,3593.00,3565.00,3746.00,3145.00,3247.00,37455.00,3746.00,3434.00,3416.00,3869.00,3728.00,3657.00,3192.00,3679.00,3410.00,3439.00,3887.00,3912.00,3573.00,3278.00,3417.00,3771.00,3428.00,3554.00,3575.00,3570.00,4999.00,3184.00,3436.00,3340.00
"15% HCl Acid, gal",1261.00,1224.00,1161.00,1251.00,1277.00,1211.00,1256.00,1269.00,1261.00,1224.00,1161.00,1189.00,1227.00,1206.00,554.00,575.00,596.00,610.00,620.00,631.00,633.00,575.00,625.00,617.00,628.00,633.00,635.00,633.00,631.00,625.00,609.00,599.00,580.00,559.00,662.00,609.00,546.00,509.00,541.00,565.00,585.00,604.00,615.00,625.00,633.00,633.00,636.00,633.00
Well Name,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H
